scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,n_queries,mean_full,mean_pruned,mean_diff_pruned_minus_full,lower_bound_relative,lower_bound_absolute,upper_bound_absolute,ci95_low,ci95_high,p_noninferiority,t_noninferiority,df_noninferiority,p_upper_test,t_upper_test,df_upper_test,passes_pruning_tost_p_lt_0.05,margin_respected_by_mean,margin_respected_by_ci,retained_for_plot
qualt5,dev.small,0.15,15.0,BM25,nDCG@10,6980,0.2299347532023317,0.239823368887912,0.0098886156855802,-0.05,-0.0114967376601165,1000000.0,0.0052875436591499,0.0144896877120106,5.229788136947332e-20,9.111309835804027,6979.0,0.0,-426053738.6696557,6979.0,True,True,True,True
qualt5,dev.small,0.15,15.0,SPLADE,RR@10,6980,0.2969339837176513,0.286637217446673,-0.0102967662709783,-0.05,-0.0148466991858825,1000000.0,-0.0131756119100007,-0.0074179206319558,0.0009773547429706,3.0982041487150376,6979.0,0.0,-680934035.4157095,6979.0,True,True,True,True
qualt5,dev.small,0.15,15.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.3392054938644724,-0.0133480351419217,-0.05,-0.0176276764503197,1000000.0,-0.0163472323949191,-0.0103488378889242,0.0025843240110689,2.797214417244662,6979.0,0.0,-653609555.8038917,6979.0,True,True,True,True
qualt5,dev.small,0.15,15.0,TAS-B,RR@10,6980,0.3472977213808159,0.334472642925365,-0.0128250784554509,-0.05,-0.0173648860690407,1000000.0,-0.016209635202084,-0.0094405217088178,0.004285980598975,2.6294145733968204,6979.0,0.0,-579190756.7290199,6979.0,True,True,True,True
qualt5,dev.small,0.15,15.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.3943198996648253,-0.0163375641908552,-0.05,-0.020532873192784,1000000.0,-0.0197856211138963,-0.012889507267814,0.0085496954108423,2.3851348819443423,6979.0,0.0,-568524254.0692611,6979.0,True,True,True,True
qualt5,dev.small,0.3,30.0,BM25,RR@10,6980,0.1842761631873379,0.1943879337790512,0.0101117705917132,-0.05,-0.0092138081593668,1000000.0,0.0043728189394961,0.0158507222439304,2.188764785652984e-11,6.6012071219195,6979.0,0.0,-341578751.1564506,6979.0,True,True,True,True
qualt5,dev.small,0.3,30.0,BM25,nDCG@10,6980,0.2299347532023317,0.2354875031452233,0.0055527499428916,-0.05,-0.0114967376601165,1000000.0,-0.0001002706174114,0.0112057705031947,1.7667181820801351e-09,5.912268967678543,6979.0,0.0,-346771062.7154581,6979.0,True,True,True,True
qualt5,dev.small,0.45,45.0,BM25,RR@10,6980,0.1842761631873379,0.1889589302769818,0.0046827670896438,-0.05,-0.0092138081593668,1000000.0,-0.0017632917620336,0.0111288259413213,1.2041761854942651e-05,4.226072409818218,6979.0,0.0,-304108912.75743175,6979.0,True,True,True,True
qualt5,dev.small,0.45,45.0,BM25,nDCG@10,6980,0.2299347532023317,0.2257576562211014,-0.0041770969812302,-0.05,-0.0114967376601165,1000000.0,-0.0106548515521706,0.0023006575897101,0.0133934984408308,2.215076295002986,6979.0,0.0,-302620907.4230941,6979.0,True,True,True,True
cdd,test-2019_test-2020,0.15,15.0,BM25,RR@10,97,0.7986786123384061,0.8059401080019636,0.0072614956635575,-0.05,-0.0399339306169203,1000000.0,-0.0485831587023937,0.0631061500295087,0.0483440579338818,1.6775496563890568,96.0,0.0,-35544750.33741666,96.0,True,True,False,True
cdd,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,97,0.8618106692848961,0.8489690721649484,-0.0128415971199476,-0.05,-0.0430905334642448,1000000.0,-0.0466784105813837,0.0209952163414884,0.0395746722910933,1.774507051391298,96.0,0.0,-58663453.616389714,96.0,True,True,False,True
cdd,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,97,0.9354933726067748,0.9527491408934708,0.0172557682866961,-0.05,-0.0467746686303387,1000000.0,-0.0010756542618679,0.0355871908352601,2.3751840466227503e-10,6.933417873276105,96.0,0.0,-108283155.44087854,96.0,True,True,True,True
cdd,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,97,0.9354933726067748,0.9411062019309442,0.0056128293241695,-0.05,-0.0467746686303387,1000000.0,-0.028200312094712,0.039425970743051,0.001369174174751,3.075383037377125,96.0,0.0,-58704521.88394443,96.0,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,RR@10,97,0.7986786123384061,0.8098469972181311,0.011168384879725,-0.05,-0.0399339306169203,1000000.0,-0.0435926384245178,0.0659294081839679,0.0335232009656619,1.852363020686835,96.0,0.0,-36248122.653474085,96.0,True,True,False,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,97,0.4873823836823968,0.5054054718443594,0.0180230881619626,-0.05,-0.0243691191841198,1000000.0,-0.0069972544354877,0.043043430759413,0.0005540250772222,3.363178029453458,96.0,0.0,-79334815.98120654,96.0,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,97,0.8618106692848961,0.8653330060546556,0.0035223367697594,-0.05,-0.0430905334642448,1000000.0,-0.0119384864349342,0.0189831599744531,1.8671782218720232e-08,5.984533611498781,96.0,0.0,-128388008.72754452,96.0,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,97,0.5903063303445052,0.5853861580462856,-0.0049201722982195,-0.05,-0.0295153165172252,1000000.0,-0.0156878546194388,0.0058475100229996,8.352736810633835e-06,4.534028211285567,96.0,0.0,-184346478.85049343,96.0,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,97,0.9354933726067748,0.9396170839469808,0.0041237113402061,-0.05,-0.0467746686303387,1000000.0,-0.006331679236566,0.0145791019169784,3.9356384821734684e-16,9.663195744052905,96.0,0.0,-189852716.5264749,96.0,True,True,True,True
