scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value,mean_full,equivalent
metadata_qualt5_mp,test-2019_test-2020,0.6,60.0,BM25,R@100,0.3401015597307895,0.4769567428702133,False
metadata_qualt5_mp,test-2019_test-2020,0.6,60.0,SPLADE,RR@10,0.8232940598919981,0.8618106692848961,False
metadata_qualt5_mp,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.5285883104217745,0.5903063303445052,False
metadata_qualt5_mp,test-2019_test-2020,0.6,60.0,SPLADE,R@100,0.3134792914894458,0.4689618970534333,False
metadata_qualt5_mp,test-2019_test-2020,0.6,60.0,TAS-B,RR@10,0.9174521354933723,0.9354933726067748,False
metadata_qualt5_mp,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.6171552653753852,0.697936757957595,False
metadata_qualt5_mp,test-2019_test-2020,0.6,60.0,TAS-B,R@100,0.3588807041288976,0.553444309695361,False
metadata_qualt5_pooled,test-2019_test-2020,0.15,15.0,BM25,RR@10,0.7987808869252169,0.7986786123384061,False
metadata_qualt5_pooled,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.5016682121657141,0.4873823836823968,True
metadata_qualt5_pooled,test-2019_test-2020,0.15,15.0,BM25,R@100,0.4652020608007643,0.4769567428702133,False
metadata_qualt5_pooled,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.860178366879398,0.8618106692848961,True
metadata_qualt5_pooled,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5828124376829118,0.5903063303445052,True
metadata_qualt5_pooled,test-2019_test-2020,0.15,15.0,SPLADE,R@100,0.4524263138618298,0.4689618970534333,False
metadata_qualt5_pooled,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,0.9396170839469808,0.9354933726067748,True
metadata_qualt5_pooled,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6942163911064925,0.697936757957595,True
metadata_qualt5_pooled,test-2019_test-2020,0.15,15.0,TAS-B,R@100,0.5306110127400665,0.553444309695361,False
metadata_qualt5_pooled,test-2019_test-2020,0.3,30.0,BM25,RR@10,0.8034650630011454,0.7986786123384061,False
metadata_qualt5_pooled,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4936452393092055,0.4873823836823968,True
metadata_qualt5_pooled,test-2019_test-2020,0.3,30.0,BM25,R@100,0.4330473784997989,0.4769567428702133,False
metadata_qualt5_pooled,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,0.8558828342333499,0.8618106692848961,True
metadata_qualt5_pooled,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.5714946632667317,0.5903063303445052,False
metadata_qualt5_pooled,test-2019_test-2020,0.3,30.0,SPLADE,R@100,0.4164396333303269,0.4689618970534333,False
metadata_qualt5_pooled,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.937039764359352,0.9354933726067748,True
metadata_qualt5_pooled,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.6731603314248673,0.697936757957595,False
metadata_qualt5_pooled,test-2019_test-2020,0.3,30.0,TAS-B,R@100,0.4867381351370936,0.553444309695361,False
metadata_qualt5_pooled,test-2019_test-2020,0.45,45.0,BM25,RR@10,0.8067869415807559,0.7986786123384061,False
metadata_qualt5_pooled,test-2019_test-2020,0.45,45.0,BM25,nDCG@10,0.4833488740044648,0.4873823836823968,False
metadata_qualt5_pooled,test-2019_test-2020,0.45,45.0,BM25,R@100,0.4014665954684633,0.4769567428702133,False
metadata_qualt5_pooled,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,0.8624856815578467,0.8618106692848961,True
metadata_qualt5_pooled,test-2019_test-2020,0.45,45.0,SPLADE,nDCG@10,0.5656325493922884,0.5903063303445052,False
metadata_qualt5_pooled,test-2019_test-2020,0.45,45.0,SPLADE,R@100,0.3779985635397945,0.4689618970534333,False
metadata_qualt5_pooled,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,0.9404761904761906,0.9354933726067748,True
metadata_qualt5_pooled,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.6636909186429645,0.697936757957595,False
metadata_qualt5_pooled,test-2019_test-2020,0.45,45.0,TAS-B,R@100,0.4375940802960352,0.553444309695361,False
metadata_qualt5_pooled,test-2019_test-2020,0.6,60.0,BM25,RR@10,0.8134879725085911,0.7986786123384061,True
metadata_qualt5_pooled,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.4628244296853897,0.4873823836823968,False
metadata_qualt5_pooled,test-2019_test-2020,0.6,60.0,BM25,R@100,0.3460426678324995,0.4769567428702133,False
metadata_qualt5_pooled,test-2019_test-2020,0.6,60.0,SPLADE,RR@10,0.8471772214040255,0.8618106692848961,False
metadata_qualt5_pooled,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.5343739465250491,0.5903063303445052,False
metadata_qualt5_pooled,test-2019_test-2020,0.6,60.0,SPLADE,R@100,0.3193012322010598,0.4689618970534333,False
metadata_qualt5_pooled,test-2019_test-2020,0.6,60.0,TAS-B,RR@10,0.9245704467353952,0.9354933726067748,True
metadata_qualt5_pooled,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.6172096444741297,0.697936757957595,False
metadata_qualt5_pooled,test-2019_test-2020,0.6,60.0,TAS-B,R@100,0.3635904701204399,0.553444309695361,False
