scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,mean_full,mean_pruned,mean_diff_pruned_minus_full,p_noninferiority,lower_bound_absolute,retained_for_plot,config_id
metadata_qualt5_CONCAT,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.9354933726067748,0.9396170839469808,0.0041237113402061,3.9356384821734684e-16,-0.0467746686303387,True,metadata_qualt5_CONCAT | test-2019_test-2020 | TAS-B | RR@10 | thr=0.3
metadata_qualt5_CONCAT,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,0.8618106692848961,0.86062019309442,-0.0011904761904761,0.0004612440356282,-0.0430905334642448,True,metadata_qualt5_CONCAT | test-2019_test-2020 | SPLADE | RR@10 | thr=0.45
metadata_qualt5_CONCAT,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,0.9354933726067748,0.9447717231222386,0.0092783505154639,3.808842731467232e-10,-0.0467746686303387,True,metadata_qualt5_CONCAT | test-2019_test-2020 | TAS-B | RR@10 | thr=0.45
metadata_qualt5_CONCAT,test-2019_test-2020,0.6,60.0,BM25,RR@10,0.7986786123384061,0.8108247422680411,0.012146129929635,0.0499111594186076,-0.0399339306169203,True,metadata_qualt5_CONCAT | test-2019_test-2020 | BM25 | RR@10 | thr=0.6
metadata_qualt5_CONCAT,test-2019_test-2020,0.6,60.0,TAS-B,RR@10,0.9354933726067748,0.920274914089347,-0.0152184585174275,0.0293144542539887,-0.0467746686303387,True,metadata_qualt5_CONCAT | test-2019_test-2020 | TAS-B | RR@10 | thr=0.6
metadata_qualt5_MP,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.4873823836823968,0.5025273691559526,0.0151449854735558,0.0011205359298366,-0.0243691191841198,True,metadata_qualt5_MP | test-2019_test-2020 | BM25 | nDCG@10 | thr=0.15
metadata_qualt5_MP,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.8618106692848961,0.8584601538209785,-0.0033505154639175,1.4258040647179432e-09,-0.0430905334642448,True,metadata_qualt5_MP | test-2019_test-2020 | SPLADE | RR@10 | thr=0.15
metadata_qualt5_MP,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5903063303445052,0.584505580527258,-0.0058007498172472,2.6573343682164564e-06,-0.0295153165172252,True,metadata_qualt5_MP | test-2019_test-2020 | SPLADE | nDCG@10 | thr=0.15
metadata_qualt5_MP,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,0.9354933726067748,0.9396170839469808,0.0041237113402061,3.9356384821734684e-16,-0.0467746686303387,True,metadata_qualt5_MP | test-2019_test-2020 | TAS-B | RR@10 | thr=0.15
metadata_qualt5_MP,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.697936757957595,0.6970557769860797,-0.0008809809715154,1.6233467179455187e-09,-0.0348968378978797,True,metadata_qualt5_MP | test-2019_test-2020 | TAS-B | nDCG@10 | thr=0.15
metadata_qualt5_MP,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4873823836823968,0.4944595686700182,0.0070771849876214,0.0230065352819857,-0.0243691191841198,True,metadata_qualt5_MP | test-2019_test-2020 | BM25 | nDCG@10 | thr=0.3
metadata_qualt5_MP,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,0.8618106692848961,0.857601047291769,-0.0042096219931271,0.0004689145510139,-0.0430905334642448,True,metadata_qualt5_MP | test-2019_test-2020 | SPLADE | RR@10 | thr=0.3
metadata_qualt5_MP,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.9354933726067748,0.9396170839469808,0.0041237113402061,3.9356384821734684e-16,-0.0467746686303387,True,metadata_qualt5_MP | test-2019_test-2020 | TAS-B | RR@10 | thr=0.3
metadata_qualt5_MP,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,0.8618106692848961,0.8610947471772212,-0.0007159221076746,0.0004872507638511,-0.0430905334642448,True,metadata_qualt5_MP | test-2019_test-2020 | SPLADE | RR@10 | thr=0.45
metadata_qualt5_MP,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,0.9354933726067748,0.9430535100638194,0.0075601374570446,2.082434192670866e-09,-0.0467746686303387,True,metadata_qualt5_MP | test-2019_test-2020 | TAS-B | RR@10 | thr=0.45
metadata_qualt5_POOLEDCONCAT,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.4873823836823968,0.5016682121657143,0.0142858284833175,0.0012120630356776,-0.0243691191841198,True,metadata_qualt5_POOLEDCONCAT | test-2019_test-2020 | BM25 | nDCG@10 | thr=0.15
metadata_qualt5_POOLEDCONCAT,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.8618106692848961,0.8601783668793979,-0.0016323024054982,9.909550667002558e-11,-0.0430905334642448,True,metadata_qualt5_POOLEDCONCAT | test-2019_test-2020 | SPLADE | RR@10 | thr=0.15
metadata_qualt5_POOLEDCONCAT,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5903063303445052,0.5828124376829117,-0.0074938926615934,2.597536247629902e-05,-0.0295153165172252,True,metadata_qualt5_POOLEDCONCAT | test-2019_test-2020 | SPLADE | nDCG@10 | thr=0.15
metadata_qualt5_POOLEDCONCAT,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,0.9354933726067748,0.9396170839469808,0.0041237113402061,3.9356384821734684e-16,-0.0467746686303387,True,metadata_qualt5_POOLEDCONCAT | test-2019_test-2020 | TAS-B | RR@10 | thr=0.15
metadata_qualt5_POOLEDCONCAT,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.697936757957595,0.6942163911064926,-0.0037203668511024,1.1700049575494467e-07,-0.0348968378978797,True,metadata_qualt5_POOLEDCONCAT | test-2019_test-2020 | TAS-B | nDCG@10 | thr=0.15
metadata_qualt5_POOLEDCONCAT,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4873823836823968,0.4936452393092057,0.0062628556268089,0.025164162088828,-0.0243691191841198,True,metadata_qualt5_POOLEDCONCAT | test-2019_test-2020 | BM25 | nDCG@10 | thr=0.3
metadata_qualt5_POOLEDCONCAT,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,0.8618106692848961,0.8558828342333497,-0.0059278350515463,0.0009414465114423,-0.0430905334642448,True,metadata_qualt5_POOLEDCONCAT | test-2019_test-2020 | SPLADE | RR@10 | thr=0.3
metadata_qualt5_POOLEDCONCAT,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.9354933726067748,0.937039764359352,0.0015463917525773,4.999720972652514e-13,-0.0467746686303387,True,metadata_qualt5_POOLEDCONCAT | test-2019_test-2020 | TAS-B | RR@10 | thr=0.3
metadata_qualt5_POOLEDCONCAT,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,0.8618106692848961,0.8624856815578466,0.0006750122729504,0.0003597104168587,-0.0430905334642448,True,metadata_qualt5_POOLEDCONCAT | test-2019_test-2020 | SPLADE | RR@10 | thr=0.45
metadata_qualt5_POOLEDCONCAT,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,0.9354933726067748,0.9404761904761906,0.0049828178694158,2.162160356759158e-09,-0.0467746686303387,True,metadata_qualt5_POOLEDCONCAT | test-2019_test-2020 | TAS-B | RR@10 | thr=0.45
metadata_qualt5_POOLEDCONCAT,test-2019_test-2020,0.6,60.0,BM25,RR@10,0.7986786123384061,0.8134879725085911,0.0148093601701849,0.0468763229722539,-0.0399339306169203,True,metadata_qualt5_POOLEDCONCAT | test-2019_test-2020 | BM25 | RR@10 | thr=0.6
metadata_qualt5_POOLEDCONCAT,test-2019_test-2020,0.6,60.0,TAS-B,RR@10,0.9354933726067748,0.9245704467353952,-0.0109229258713794,0.0060261046713743,-0.0467746686303387,True,metadata_qualt5_POOLEDCONCAT | test-2019_test-2020 | TAS-B | RR@10 | thr=0.6
perplexity,test-2019_test-2020,0.15,15.0,BM25,RR@10,0.7986786123384061,0.8104810996563573,0.0118024873179512,0.0113871619720105,-0.0399339306169203,True,perplexity | test-2019_test-2020 | BM25 | RR@10 | thr=0.15
perplexity,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.8618106692848961,0.8700867288496155,0.0082760595647193,1.4987607986924618e-07,-0.0430905334642448,True,perplexity | test-2019_test-2020 | SPLADE | RR@10 | thr=0.15
perplexity,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5903063303445052,0.5752992462284737,-0.0150070841160314,0.0207225747337873,-0.0295153165172252,True,perplexity | test-2019_test-2020 | SPLADE | nDCG@10 | thr=0.15
perplexity,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,0.9354933726067748,0.9336033382425136,-0.0018900343642611,3.3324773277951874e-55,-0.0467746686303387,True,perplexity | test-2019_test-2020 | TAS-B | RR@10 | thr=0.15
perplexity,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.697936757957595,0.6781974951290229,-0.0197392628285722,0.0164569096969239,-0.0348968378978797,True,perplexity | test-2019_test-2020 | TAS-B | nDCG@10 | thr=0.15
perplexity,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,0.8618106692848961,0.8686548846342661,0.0068442153493699,0.0009559187625287,-0.0430905334642448,True,perplexity | test-2019_test-2020 | SPLADE | RR@10 | thr=0.3
perplexity,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.9354933726067748,0.9344624447717232,-0.0010309278350515,0.0002842511798371,-0.0467746686303387,True,perplexity | test-2019_test-2020 | TAS-B | RR@10 | thr=0.3
