source_file,scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value,mean_full,equivalent
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.45.csv,metadata_qualt5_attfus_2s,dev.small,0.45,45.0,TAS-B,nDCG@10,0.3627760426729945,0.4106574638556753,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.45.csv,metadata_qualt5_attfus_2s,dev.small,0.45,45.0,TAS-B,R@100,0.7284383954154726,0.8869149952244509,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.6.csv,metadata_qualt5_attfus_2s,dev.small,0.6,60.0,BM25,RR@10,0.1813802474189293,0.1842761631873375,True
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.6.csv,metadata_qualt5_attfus_2s,dev.small,0.6,60.0,BM25,nDCG@10,0.2147642822263219,0.229934753202334,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.6.csv,metadata_qualt5_attfus_2s,dev.small,0.6,60.0,BM25,R@100,0.511341929321872,0.6777578796561604,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.6.csv,metadata_qualt5_attfus_2s,dev.small,0.6,60.0,SPLADE,RR@10,0.2474458771092005,0.2969339837176502,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.6.csv,metadata_qualt5_attfus_2s,dev.small,0.6,60.0,SPLADE,nDCG@10,0.2859376275157886,0.3525535290063931,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.6.csv,metadata_qualt5_attfus_2s,dev.small,0.6,60.0,SPLADE,R@100,0.5881208213944604,0.8166905444126076,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.6.csv,metadata_qualt5_attfus_2s,dev.small,0.6,60.0,TAS-B,RR@10,0.2865184540865043,0.3472977213808154,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.6.csv,metadata_qualt5_attfus_2s,dev.small,0.6,60.0,TAS-B,nDCG@10,0.3294287088534109,0.4106574638556753,False
compare_all_metadata_qualt5_ATTFUS_2S_dev.small_0.6.csv,metadata_qualt5_attfus_2s,dev.small,0.6,60.0,TAS-B,R@100,0.6238180515759313,0.8869149952244509,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.15.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.15,15.0,BM25,RR@10,0.8021600392734414,0.798678612338406,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.15.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.4990532820077201,0.4873823836823968,True
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.15.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.15,15.0,BM25,R@100,0.4630087710020024,0.4769567428702132,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.15.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.8584601538209787,0.8618106692848961,True
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.15.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5823923373658753,0.5903063303445051,True
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.15.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.15,15.0,SPLADE,R@100,0.4492077381983429,0.4689618970534333,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.15.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,0.9344624447717232,0.9354933726067746,True
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.15.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6942993022735962,0.697936757957595,True
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.15.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.15,15.0,TAS-B,R@100,0.5284232409889753,0.553444309695361,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.3.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.3,30.0,BM25,RR@10,0.7990672557682866,0.798678612338406,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.3.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4943403132950359,0.4873823836823968,True
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.3.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.3,30.0,BM25,R@100,0.4359065740488561,0.4769567428702132,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.3.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,0.858271968581247,0.8618106692848961,True
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.3.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.5742716216383702,0.5903063303445051,True
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.3.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.3,30.0,SPLADE,R@100,0.4185516160460632,0.4689618970534333,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.3.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.9421944035346096,0.9354933726067746,True
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.3.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.6783208210862102,0.697936757957595,True
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.3.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.3,30.0,TAS-B,R@100,0.4880318229739627,0.553444309695361,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.45.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.45,45.0,BM25,RR@10,0.7904189167075764,0.798678612338406,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.45.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.45,45.0,BM25,nDCG@10,0.4759507544656138,0.4873823836823968,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.45.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.45,45.0,BM25,R@100,0.3927206887602226,0.4769567428702132,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.45.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,0.8619088528882344,0.8618106692848961,True
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.45.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.45,45.0,SPLADE,nDCG@10,0.5676542870518082,0.5903063303445051,False
