scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value,mean_full,equivalent
itn,dev.small,0.45,45.0,BM25,nDCG@10,0.1570897205792789,0.2299347532023317,False
itn,dev.small,0.45,45.0,BM25,R@100,0.3947110792741164,0.6777578796561604,False
itn,dev.small,0.45,45.0,SPLADE,RR@10,0.1997259744394412,0.2969339837176513,False
itn,dev.small,0.45,45.0,SPLADE,nDCG@10,0.2286496301964959,0.3525535290063942,False
itn,dev.small,0.45,45.0,SPLADE,R@100,0.4565305635148041,0.8166905444126075,False
itn,dev.small,0.45,45.0,TAS-B,RR@10,0.2268476258698316,0.3472977213808159,False
itn,dev.small,0.45,45.0,TAS-B,nDCG@10,0.2590301939909638,0.4106574638556805,False
itn,dev.small,0.45,45.0,TAS-B,R@100,0.4901623686723972,0.8869149952244508,False
itn,dev.small,0.6,60.0,BM25,RR@10,0.1060870628098422,0.1842761631873379,False
itn,dev.small,0.6,60.0,BM25,nDCG@10,0.1259702178545599,0.2299347532023317,False
itn,dev.small,0.6,60.0,BM25,R@100,0.2914756446991404,0.6777578796561604,False
itn,dev.small,0.6,60.0,SPLADE,RR@10,0.159498965297676,0.2969339837176513,False
itn,dev.small,0.6,60.0,SPLADE,nDCG@10,0.1798909473965893,0.3525535290063942,False
itn,dev.small,0.6,60.0,SPLADE,R@100,0.3325334288443169,0.8166905444126075,False
itn,dev.small,0.6,60.0,TAS-B,RR@10,0.1822342179469685,0.3472977213808159,False
itn,dev.small,0.6,60.0,TAS-B,nDCG@10,0.2044797240454732,0.4106574638556805,False
itn,dev.small,0.6,60.0,TAS-B,R@100,0.355002387774594,0.8869149952244508,False
itn,test-2019_test-2020,0.15,15.0,BM25,RR@10,0.7831901489117984,0.7986786123384061,False
itn,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.4697002425971704,0.4873823836823968,False
itn,test-2019_test-2020,0.15,15.0,BM25,R@100,0.4357680764671536,0.4769567428702133,False
itn,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.8617247586319754,0.8618106692848961,True
itn,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5676483466243868,0.5903063303445052,False
itn,test-2019_test-2020,0.15,15.0,SPLADE,R@100,0.4255591456792699,0.4689618970534333,False
itn,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,0.9396170839469808,0.9354933726067748,True
itn,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6750917153280941,0.697936757957595,True
itn,test-2019_test-2020,0.15,15.0,TAS-B,R@100,0.4976588559005567,0.553444309695361,False
itn,test-2019_test-2020,0.3,30.0,BM25,RR@10,0.7770291278023237,0.7986786123384061,False
