scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value
metadata_qualt5_concat_v2,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6953445153513881
metadata_qualt5_concat_v2,test-2019_test-2020,0.15,15.0,TAS-B,R@100,0.530214623871924
metadata_qualt5_concat_v2,test-2019_test-2020,0.3,30.0,BM25,RR@10,0.7981222385861562
metadata_qualt5_concat_v2,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4955309606289416
metadata_qualt5_concat_v2,test-2019_test-2020,0.3,30.0,BM25,R@100,0.4388959822837427
metadata_qualt5_concat_v2,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,0.8627556864670267
metadata_qualt5_concat_v2,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.577639686444579
metadata_qualt5_concat_v2,test-2019_test-2020,0.3,30.0,SPLADE,R@100,0.4204780148161087
metadata_qualt5_concat_v2,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.9396170839469808
metadata_qualt5_concat_v2,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.6768625625932118
metadata_qualt5_concat_v2,test-2019_test-2020,0.3,30.0,TAS-B,R@100,0.4914086929671709
metadata_qualt5_concat_v2,test-2019_test-2020,0.45,45.0,BM25,RR@10,0.8092047128129601
metadata_qualt5_concat_v2,test-2019_test-2020,0.45,45.0,BM25,nDCG@10,0.4823279274641097
metadata_qualt5_concat_v2,test-2019_test-2020,0.45,45.0,BM25,R@100,0.3909624890639387
metadata_qualt5_concat_v2,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,0.8589469808541974
metadata_qualt5_concat_v2,test-2019_test-2020,0.45,45.0,SPLADE,nDCG@10,0.5639976012271303
metadata_qualt5_concat_v2,test-2019_test-2020,0.45,45.0,SPLADE,R@100,0.3730016035994782
metadata_qualt5_concat_v2,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,0.9473490427098674
metadata_qualt5_concat_v2,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.6565124773653148
metadata_qualt5_concat_v2,test-2019_test-2020,0.45,45.0,TAS-B,R@100,0.4286857837946191
metadata_qualt5_concat_v2,test-2019_test-2020,0.6,60.0,BM25,RR@10,0.8124856815578464
metadata_qualt5_concat_v2,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.4685520450429626
metadata_qualt5_concat_v2,test-2019_test-2020,0.6,60.0,BM25,R@100,0.3392104723855037
metadata_qualt5_concat_v2,test-2019_test-2020,0.6,60.0,SPLADE,RR@10,0.8294223531336934
metadata_qualt5_concat_v2,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.5216666717847652
metadata_qualt5_concat_v2,test-2019_test-2020,0.6,60.0,SPLADE,R@100,0.3145470698526454
metadata_qualt5_concat_v2,test-2019_test-2020,0.6,60.0,TAS-B,RR@10,0.9122974963181149
metadata_qualt5_concat_v2,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.6055607830072196
metadata_qualt5_concat_v2,test-2019_test-2020,0.6,60.0,TAS-B,R@100,0.3567686012224801
